customer_id,first_name,last_name,email,phone,signup_date,city,region,customer_type
CUST-0001,Joseph,Brown,joseph.brown87@gmail.com,077045321520,2023-12-07,York,England,premium
CUST-0002,Mark,Morris,markmorrisATgmail.com,+44 7925 263 7924,2021-12-05,Leicester,England,premium
CUST-0003,Jennifer,Murphy,jennifer.murphy38@icloud.com,076912962139,2022-02-17,Cardiff,Wales,premium
CUST-0004,George,Lee,george.lee78@gmail.com,07573-488-5422,2024-05-08,Manchester,England,regular
CUST-0005,John,Green,john.green92@icloud.com,07246-371-3287,2022-05-27,Reading,England,premium
CUST-0006,George,Lewis,george.lewis15@gmail.com,07710-165-7304,2024-10-28,London,England,wholesale
CUST-0007,Joseph,Wright,joseph.wright59@yahoo.co.uk,076128803927,2024-04-10,Liverpool,England,wholesale
CUST-0008,Shirley,Smith,shirley.smith40@outlook.com,079996802290,2022-08-31,York,England,regular
CUST-0009,Dorothy,Collins,dorothy.collins92@yahoo.co.uk,075486298397,2020-01-15,Birmingham,England,wholesale
CUST-0010,Linda,Robinson,,073433858953,2024-07-11,Brighton,England,regular
CUST-0011,Richard,Gonzalez,richard.gonzalez87@gmail.com,+44-7354-296-4116,2021-01-10,Cardiff,Wales,premium
CUST-0012,Ashley,Martinez,ashley.martinez84@gmail.com,+44 7653 956 1241,2020-01-05,Southampton,England,premium
CUST-0013,Mason,Torres,mason.torres85@icloud.com,+44 7835 598 3536,2022-09-03,Bath,England,wholesale
CUST-0014,Charles,Davis,charles.davis9@icloud.com,07692-708-1651,2021-02-22,Sheffield,England,regular
CUST-0015,Dorothy,Phillips,dorothy.phillips2@gmail.com,07618-371-3170,2022-06-16,York,England,wholesale
CUST-0016,Joshua,Johnson,joshua.johnson18@gmail.com,07378-388-4450,2021-05-29,Manchester,England,regular
CUST-0017,  Aiden ,Scott,aiden.scott21@outlook.com,076741092832,2020-03-26,Newcastle,England,premium
CUST-0018,Jennifer,Rivera,jennifer.rivera53@icloud.com,07919-930-3900,2022-04-23,Glasgow,Scotland,premium
CUST-0019,Charles,Wilson,,+44-7328-124-4164,2024-11-05,Birmingham,England,premium
CUST-0020,Brian,Evans,brian.evans15@gmail.com,+44-7453-846-6139,2022-11-13,Leeds,England,premium
CUST-0021,Pamela,Harris,pamelaharrisATgmail.com,07780-438-6143,2023-09-27,Brighton,England,premium
CUST-0022,Stephanie,Nguyen,stephanie.nguyen87@hotmail.com,+44-7540-904-6279,2023-10-15,Edinburgh,Scotland,wholesale
CUST-0023,Logan,Perez,logan.perez43@icloud.com,+44-7125-147-5011,2024-04-22,Birmingham,England,premium
CUST-0024,Rebecca,Harris,rebecca.harris84@yahoo.co.uk,+44 7804 105 2746,2024-06-29,Oxford,England,wholesale
CUST-0025,Shirley,Green,shirley.green55@icloud.com,+44-7960-752-5543,2021-07-16,Oxford,England,regular
CUST-0026,Andrew,Walker,andrew.walker20@yahoo.co.uk,+44 7336 492 3503,2022-05-10,Southampton,England,wholesale
CUST-0027,Robert,Carter,robert.carter54@hotmail.com,+44-7546-597-1475,2023-10-22,Southampton,England,wholesale
CUST-0028,Lisa,Cook,lisa.cook76@hotmail.com,+44-7286-151-5262,2022-07-20,Sheffield,England,premium
CUST-0029,Timothy,Scott,timothy.scott61@gmail.com,071534584673,2023-06-26,Bristol,England,regular
CUST-0030,Thomas,Rogers,thomas.rogers99@outlook.com,+44-7419-689-7149,2021-02-10,Birmingham,England,wholesale
CUST-0031,Ashley,Wilson,ashley.wilson73@gmail.com,+44-7112-969-7882,2022-01-11,Oxford,England,wholesale
CUST-0032,Karen,Edwards,karen.edwards69@icloud.com,+44-7950-188-5569,2022-08-09,Reading,England,wholesale
CUST-0033,  Timothy ,Baker,timothy.baker46@yahoo.co.uk,+44-7295-187-4954,2024-04-01,Glasgow,Scotland,wholesale
CUST-0034,Logan,Peterson,,07779-695-7046,2024-03-07,York,England,premium
CUST-0035,Amanda,Murphy,amanda.murphy41@yahoo.co.uk,07296-321-8933,2024-09-01,Edinburgh,Scotland,premium
CUST-0036,Sandra,Campbell,,07814-229-9042,2022-06-21,Sheffield,England,regular
CUST-0037,Michael,Allen,michael.allen63@hotmail.com,072552525978,2022-02-18,Oxford,England,premium
CUST-0038,Joshua,Collins,joshua.collins98@gmail.com,+44 7312 740 4457,2023-11-12,Leicester,England,premium
CUST-0039,Emily,Jones,emily.jones10@hotmail.com,07535-217-9922,2020-05-26,Manchester,England,regular
CUST-0040,Donna,Torres,donna.torres35@hotmail.com,+44 7612 652 9090,2023-10-12,Reading,England,wholesale
CUST-0041,Robert,Wright,robert.wright84@icloud.com,+44 7552 384 3973,2021-11-06,Brighton,England,wholesale
CUST-0042,Amy,Torres,amy.torres59@gmail.com,+44-7773-990-9889,2021-01-19,Bath,England,premium
CUST-0043,Helen,Cooper,helen.cooper17@icloud.com,+44 7394 548 8941,2024-09-19,Leeds,England,premium
CUST-0044,Jessica,Martin,jessica.martin54@outlook.com,07492-295-9327,2024-10-15,Brighton,England,premium
